temperature,humidity,sound,is_anomaly
23.19,45.5,62.82,0
24.42,46.33,61.2,0
23.04,45.52,61.3,0
21.99,42.05,58.96,0
19.69,41.13,67.43,0
22.11,43.75,63.47,0
21.66,46.51,66.78,0
23.66,47.27,57.46,0
23.44,44.34,56.66,0
21.09,48.39,58.99,0
23.03,45.82,61.7,0
22.59,47.6,63.44,0
21.05,47.89,62.6,0
23.14,41.72,58.7,0
21.88,42.63,55.42,0
25.11,39.31,60.4,0
22.18,42.15,64.56,0
22.26,47.32,68.96,0
21.13,50.36,56.73,0
24.03,44.72,64.25,0
21.84,50.29,64.43,0
21.09,49.77,61.94,0
22.69,45.56,58.3,0
20.09,48.61,63.14,0
18.07,43.06,62.29,0
21.83,42.93,58.61,0
21.54,43.49,58.97,0
22.66,47.22,60.35,0
23.44,52.96,63.74,0
21.08,43.22,60.91,0
19.47,43.3,61.9,0
21.99,54.13,62.84,0
22.63,42.01,67.75,0
23.1,48.96,63.77,0
22.17,38.2,64.36,0
23.23,44.23,68.06,0
22.44,49.84,61.75,0
21.0,50.79,61.87,0
21.24,44.78,62.43,0
23.35,45.35,64.1,0
21.27,42.88,66.93,0
20.34,45.45,66.45,0
24.37,51.92,58.94,0
21.27,45.92,60.18,0
20.57,46.76,57.26,0
22.5,46.81,61.86,0
20.41,51.74,62.02,0
22.97,42.15,63.14,0
23.44,42.99,64.44,0
20.55,52.61,61.97,0
24.61,41.53,63.74,0
23.5,43.87,62.61,0
23.17,44.71,62.7,0
20.39,57.66,59.39,0
21.83,42.73,59.72,0
25.78,38.59,60.69,0
20.47,42.61,63.06,0
21.3,47.25,62.93,0
21.5,42.39,66.6,0
24.16,40.39,59.67,0
20.42,42.56,63.86,0
21.6,45.29,65.0,0
21.6,48.32,62.01,0
21.42,58.32,61.9,0
22.27,48.06,67.65,0
20.74,43.4,63.29,0
21.41,39.73,66.36,0
91.89,84.49,103.94,1
21.82,46.32,63.11,0
20.87,43.95,58.23,0
20.54,42.92,60.25,0
24.4,40.66,64.63,0
22.86,51.87,62.11,0
21.81,51.56,59.0,0
79.28,93.25,108.27,1
21.49,47.68,58.58,0
22.9,47.47,66.31,0
